"","sex:Male_vs_Female","weight_g:high_vs_low","length_cm:high_vs_low","ab_fat:high_vs_low","other_fat:high_vs_low","total_fat:high_vs_low"
"F2_173","Male","high","high","low","high","high"
"F2_174","Male","high","high","low","low","low"
"F2_176","Male","high","low","low","high","high"
"F2_178","Male","high","high","low","high","high"
"F2_179","Male","high","low","low","low","low"
"F2_183","Male","high","high","low","high","low"
"F2_184","Male","high","high","low","low","low"
"F2_185","Male","low","high","low","high","low"
"F2_186","Male","low","low","low","low","low"
"F2_197","Female","high","high","low","high","low"
"F2_198","Female","low","low","low","low","low"
"F2_199","Female","high","high","low","low","low"
"F2_207","Male","high","high","low","high","high"
"F2_208","Male","high","high","high","high","high"
"F2_209","Male","low","low","high","high","high"
"F2_210","Male","low","high","low","low","low"
"F2_216","Male","high","low","low","low","low"
"F2_217","Male","high","high","low","low","low"
"F2_218","Male","high","low","low","high","low"
"F2_219","Male","high","high","low","high","low"
"F2_220","Male","high","high","low","low","low"
"F2_230","Male","high","high","high","low","low"
"F2_231","Male","high","low","low","low","low"
"F2_232","Male","high","low","high","low","high"
"F2_233","Male","high","high","low","high","low"
"F2_234","Male","high","low","low","low","low"
"F2_235","Male","high","high","high","high","high"
"F2_236","Male","high","high","high","low","low"
"F2_237","Male","high","high","low","high","high"
"F2_238","Male","high","high","high",NA,NA
"F2_239","Male","high","high","high","high","high"
"F2_249","Male","high","high","low","low","low"
"F2_250","Male","high","low","low","low","low"
"F2_251","Male","low","low","low","low","low"
"F2_252","Male","high","high","low","low","low"
"F2_254","Male","high","high","low","high","low"
"F2_256","Male","high","high","low","high","high"
"F2_257","Male","low","low","low","low","low"
"F2_265","Male","high","high","low","low","low"
"F2_266","Male","high","high","low","low","low"
"F2_268","Male","high","high","low","low","low"
"F2_274","Male","high","high","low","low","low"
"F2_275","Male","high","high","low","high","low"
"F2_276","Male","high","high","low","high","high"
"F2_279","Male","high","high","high","low","high"
"F2_280","Male","high","low","low","high","low"
"F2_281","Male","low","high","low","low","low"
"F2_282","Male","high","high",NA,"high",NA
"F2_284","Male","high","high","low","high","low"
"F2_285","Male","high","low","low","low","low"
"F2_286","Male","high","high","high","high","high"
"F2_292","Male","high","low","low","low","low"
"F2_294","Male","high","low","low","high","low"
"F2_295","Male","low","low","high","high","high"
"F2_313","Male","high","low","high","high","high"
"F2_314","Male","high","high","low","high","low"
"F2_315","Male","high","high","low","high","low"
"F2_316","Male","high","high","low","low","low"
"F2_317","Male","high","high","low","low","low"
"F2_318","Male","high","high","low","high","low"
"F2_343","Male","low","low","high","low","low"
"F2_353","Male","high","high","low","high","low"
