"","act12h_018","act12h_019","act24h_023","act48h_026","act48h_027","act72h_028","act72h_029","act72h_030","act96h_032","act96h_034","notact_004","notact_007","notact_008"
"px:ATP8B2",6.48963632372575,10.1997845246584,0.165237381946387,0.165070417954543,0.165143299120377,2.28800173998557,6.81215490682294,7.19218882297167,7.13318415687012,6.92927692877542,6.99734316275605,7.38104408295772,7.05336780166636
"px:MEX3D",0.165275814758291,2.21988362604103,0.165158442076225,0.165248644691674,0.165182672705639,1.12753728482083,8.0851464169589,1.06417650716383,8.22383215868679,7.37983635502841,6.06282922034928,4.98213787100912,5.77922289402994
"px:CTNNBIP1",0.16522060519852,0.165236179401333,0.1652347596589,0.165316339842489,0.165217417864966,0.16532721101588,0.165330824177186,0.165312124673881,0.165058418968802,0.165264448829164,7.40195737853959,7.21487667438899,7.26335644889017
"px:PLCH2",0.16514863563066,0.165204061188671,6.11814233561763,0.165322224827254,6.11617206501697,4.7312352716661,4.56545826636536,5.71790898693299,6.14881259438559,0.165293351985849,0.165046426242444,0.165188543093882,0.1651772100239
"px:ASF1B",0.165176319692083,0.165356580519495,1.57139869735905,6.81656252508721,6.44433463868542,6.6427590121202,6.58723251562412,6.77184931794541,6.65193871037444,5.92204863758487,2.86682978846485,0.165023721744888,0.165129002862327
"px:MAD2L2",0.165345013171378,0.165226040230556,0.165088349071918,0.165157323147347,0.16525928351213,5.73641619088248,5.7263856639603,5.77395569109019,5.0654542833626,5.4778383738167,0.165065278763084,0.165005998514497,0.16510221362626
"px:POTEF",0.165341669257363,0.165166569006115,0.165230350741389,0.165087230508806,0.165076052917973,3.5964745461309,0.165301016258018,0.165343121282971,2.08187138292866,0.165294667926347,6.95369948289665,6.96629627064817,6.36913886301555
"px:C8A",4.82266047460903,7.18135754662739,3.71744411078613,0.165408282199513,0.165193787873544,0.16508431231679,1.13590698860527,0.165075583049213,0.165234382922917,0.165211227916471,6.24952055130741,4.62922719045057,6.20489764861993
"px:CDKN1B",5.21215816121586,5.39995206268715,0.165374472617558,0.165056805720102,0.423318373981416,1.34287762201467,0.648269174168807,0.609011737888973,1.50455386270293,2.61173605086719,8.21485978707321,7.91933458038485,8.84240408340658
"px:SAA4",6.33872281287565,7.7767536139523,1.20286616728807,2.99897914980664,0.16528015805598,0.165238559132675,0.7510097022378,0.165066017718578,5.28919533478296,0.165298164833975,5.84163314131258,5.21591328302495,5.96369892525858
"px:MYO9A",0.165407828026436,0.165227068374091,0.164993695774852,0.165199389025859,0.165158047844997,0.16536771969696,0.165270219902107,0.165110095197287,0.165166801134053,4.64562807640725,8.11621337707406,4.73313606573052,4.80098678398754
"px:CCDC77",0.165258911740298,0.165244923261212,0.16524542748223,0.165217102335635,0.16522221521196,4.92279089738464,5.7643972138939,4.87175351410845,4.87004290150924,0.165274482305365,5.95356870086113,0.165248626814029,0.164895538248286
"px:DIXDC1",6.4760245665569,2.83211626248946,0.165393252367682,0.165337526260406,0.165114670039622,0.165142522251058,0.165253515498764,0.16517056151679,0.165093172593696,0.165124082806943,0.165313467538985,0.165289232974468,8.9726303757655
