"","notact_004","notact_007","notact_008","notact_009","notact_010","notact_011","notact_014","act12h_018","act12h_019","act12h_020","act24h_023","act48h_026","act48h_027","act72h_028","act72h_029","act72h_030","act96h_032","act96h_034"
"ACO2",10.7403201365609,10.9015284276431,10.5268690260555,10.9956523583645,10.5841531560652,10.9379164009356,10.6861097816713,10.1382461096373,10.2893086079739,10.1816923745512,9.89570643556234,9.1597785782626,9.28384017319746,9.48585341406476,9.50766075654148,9.49247492936443,9.51286405492418,9.46977826023379
"ACOT1",3.6282943881897,5.01630537437419,3.04605109877943,4.37021505016878,3.67143800469417,3.6683991854759,4.54598815712467,3.27749978037338,4.36349673988283,4.29651217949352,3.02621622120119,1.4923140508787,2.80927995914183,3.34000674905929,1.61743875360047,2.69729188758609,2.60620370994859,2.92529455310535
"ACOT13",5.69148792896187,5.87989520342822,6.04320415945946,6.35126926285765,5.03995120296642,5.19016993636098,6.40739094397344,5.93461279894554,5.83503346054576,5.81703258433422,3.75560964664084,5.58881436701366,5.69256470443569,5.80506632791087,5.64201657962337,5.72810626654392,5.48221746177174,4.84607961214275
"ACOT2",5.82369216433931,5.43853672152868,5.97210435797146,5.58308997775654,5.8179930288252,6.27268960719635,6.19818100938959,5.36780860088541,5.28099956502633,5.2182474341812,3.59468235399727,3.76299595781059,3.28805519538892,4.39649205404472,4.43643425429502,4.8042927474037,4.94047608035802,5.65961252344774
"ACOT8",2.75943910096063,2.79489947134766,2.43313328354379,2.44491019326004,1.11666441571438,3.11000113014883,1.3221333683193,2.21980302263751,0,0,0,0,2.47876115185962,3.3954525200878,2.70334895349991,2.86610776668767,2.01860696800658,3.96599833954
"ACOT9",5.96685309819785,6.56432452985164,3.94191096793992,5.9151192863343,4.74440248925305,5.83281700079835,5.07667254411454,4.8694215387906,4.17882440101422,6.22327302026833,4.72607503682627,5.60635092627923,4.4391605670691,4.85178811844099,5.55680011901019,5.69407112613309,5.42088561701075,5.03519884508861
"ACOX1",4.78884939264618,2.50653389224745,3.18309651056272,3.13704911949218,2.19627923031923,3.44986580715017,3.61643000208519,1.93679193909579,3.85046789630955,2.70784443240966,4.47965280798027,5.07924627720171,4.64978710517172,5.36378923641016,5.55017896810956,5.7868735505807,4.51269253134314,2.71663741050022
"ACOX3",5.51271830995426,4.04045643248505,4.45021350210034,1.28669537329975,3.13806287269313,3.36920928709364,4.10343256143516,5.45880639517296,2.89797337893092,6.17137849384242,2.10204676636803,4.5248557612324,1.76999711570955,4.72534346578896,3.31901698972403,4.86061019159609,3.51878203569644,5.27756511115962
"ACP1",8.23708838710215,8.11772530619393,7.54663476288943,7.78780836601538,8.10059226431733,8.39446551320151,7.52108093893565,6.95413882848902,6.80795818459407,7.70997728105291,7.21624115110125,7.3009411669582,7.26425593344292,7.02861960689522,7.30365798693342,7.48403077028046,7.33850919164292,6.97420592300874
"ACP2",1.13312334469046,2.67376369237962,2.02649276516471,1.22286539395662,1.32886359996004,1.18888550265677,1.1766632358265,2.30941025955667,1.98217798372943,2.41719404830363,1.98068526003438,0,2.6929593175182,1.95948482575569,1.80047792927666,2.13020517422597,2.23851734676199,1.61339405010002
"ACP5",0,0,0,0,0,0.366144898564087,0,0,0,0,1.18060353142417,0,0,1.64600232057719,2.02331237540799,1.66199931235741,1.33550762597347,1.94962843162705
"ACP6",4.94371038393779,5.51968885150622,2.99936470382416,4.9600441335562,2.89538677472204,3.81734020720888,4.05918571625836,3.44489836436011,3.82214981788645,4.29508883355466,2.59729060235481,2.23299878419662,1.92342054879005,2.58830053090761,2.78953930259486,1.87264401375125,2.3010231830197,2.0248671810242
"ACSF2",4.06812609285862,5.01086402953582,3.64722966597541,4.16733316770299,4.12516257892915,3.14195754237837,2.96770884876324,3.47777379250144,4.03301059711336,3.65948686152439,2.94972681358675,2.72453107509406,2.30867928535032,3.08661147045529,3.51985355628146,3.28799149802477,4.68359488022507,4.55474101573194
"ACSF3",6.56502845859495,6.54418333976129,5.46832587449221,7.46401786646118,6.76712055457749,6.87563741147289,6.81128998871773,6.19066041124798,6.4079058123368,6.44695551504846,5.1485045242488,4.72749884724777,4.81675052503782,5.33308716119698,5.2969605226967,5.10884825509654,5.43702337242865,5.45875948629374
"ACSL1",3.93698569354969,5.31479463774506,4.67427327229198,2.99456322220469,1.35163573536784,1.45588397080351,1.86788043660627,4.91371523785488,4.50939451719748,4.60334434075481,4.9482114597995,5.23521286767531,5.05056598392069,5.46054651217401,5.51340581004847,5.32005181845467,4.83600723805548,5.09631841738269
"ACSL3",6.07113856014276,5.95665739442424,6.22326076287689,6.30937131083273,6.20480779274854,6.08040123573917,5.91872833463237,5.52159740821203,5.83217000284674,5.80577589883347,5.98912864874569,5.62710855651916,5.60388627762612,4.49634047789181,4.95698729077531,4.91167851108108,5.02978458492865,5.12972142837277
"ACSL4",5.84665394475384,5.49366410804444,5.52446287746013,6.13211718548886,6.20112492159284,5.48463087377272,5.30470756882627,6.69364482025683,6.31880588609706,6.55881141694199,7.06300718408807,7.55759727300131,7.40071707005375,7.16182753359396,7.2713499588291,7.30886502088486,7.34030882168064,7.25350354375383
"ACSL5",5.78561298929304,5.46607443514702,4.99107402106687,6.03515388591677,4.95776001833258,5.43776878725934,5.06712959265747,5.03746343526206,4.84174194074542,4.55938614289949,4.65660616381095,4.58646499624178,4.73891601158041,5.23426653285264,4.40590768484577,4.77804990782603,4.41782936983739,5.09895310041474
"ACSM3",3.35515648850919,3.11844894114838,2.2770216997544,2.09533802619431,2.12455863494642,1.90941307768583,3.03574338918449,0,1.53725757921289,0,0,2.33368310033659,0,0,0,0,1.16312063386964,0
"ACSS1",6.13060225533582,6.15757416561482,5.91161287862025,3.27838755299878,4.73090814744732,5.3832172609505,5.16221652004598,5.11083588833375,4.8783325143,5.28152851605106,3.93983448479766,3.19124694944127,4.0234501360839,4.63207661858564,4.16830023071407,4.54508313710587,4.57026905170518,4.86697609275924
"ACSS2",2.77727622659178,3.89501664132656,4.76928406626719,4.66503956292132,4.23704074879219,3.90018760517747,4.17572578022022,2.90265789262002,2.6596944621033,2.67987826701013,2.51603760732541,3.13798592218703,3.07763213114854,3.58507698010629,6.06931470511924,8.29241246642059,3.98009199144062,4.46495439138288
"ACTBL2",2.65315586039399,4.92120466787135,2.19318738136871,4.0925017402751,4.79764214655066,5.86763226252095,2.13446095838662,4.39274712635565,7.84182659454065,5.41200752335184,4.3100482765009,2.45790215763107,1.27415093635631,1.36749374113338,2.90621052579489,3.04367330290045,2.29841142187823,4.80321399435459
"ACTC1",10.332072814858,10.5262860664177,10.9608477336758,9.49364648392064,10.8425453113021,10.8296222487183,5.56253016210955,10.5315816089881,9.62269673424344,10.177278372624,9.76598847325168,7.35732716742428,9.03754162699956,9.61318983310901,9.98529710309156,9.97413625557316,10.0967094839641,9.84965266302102
"ACTG1",14.1780934563601,14.2062719671008,14.1920854583242,14.1907082789392,14.1823729633247,14.1822237187236,14.1918911116122,13.4803265362528,14.2027355945346,13.7957440249619,14.2339894854862,13.0376857570608,13.278159860442,14.1332881865013,14.1449308083023,14.1498588459176,13.822118677048,14.2085202407695
