"","notact_004","notact_007","notact_008","notact_009","notact_010","notact_011","notact_014","act12h_018","act12h_019","act12h_020","act24h_023","act48h_026","act48h_027","act72h_028","act72h_029","act72h_030","act96h_032","act96h_034"
"ACAD8",6.3450816596537,6.18852993050142,6.41930985434984,6.16437801369202,6.16603858106251,6.22576812047613,6.77249295252047,5.90678119300513,6.81281379516509,6.35717479035867,4.8862666669634,3.41396231507428,3.36185448508301,3.07084117261519,4.16619628219707,3.81449086787357,4.3411073738379,2.28562192394584
"ACAD9",6.42119885810739,6.30411147904216,6.49248325512901,6.00427840876974,6.54195608083006,6.41873134666157,6.65615456038328,5.99957378790944,6.48366920021644,5.6474678877351,5.84571935511016,6.49566157727849,6.67126798741015,6.93876381378244,7.10513147425523,6.89761866436815,6.48784190978997,6.91582393286305
"ACADM",7.73312679524462,7.34626903521402,8.39063010460043,7.09207122915469,7.26984753598866,7.43040157801663,7.60431114062945,7.29243691695414,8.34492296615512,7.59505643498587,7.18916769413314,7.60201094709253,7.63229827752312,7.78732618670057,7.64590537174308,7.59085583635733,7.35222158422933,7.90415287544534
"ACADS",8.35675393483153,8.45646598858378,7.48002851511239,8.15458180657529,7.01777808307187,6.78232609061454,7.64273888661685,7.19808692912246,7.71803754947614,7.57598308880485,6.60489987203102,5.44479625003149,5.58858607436831,6.25282392614766,6.16476640049423,5.72933131034701,6.29740368012748,6.18400916117678
"ACADSB",7.20165577682838,7.35915570280255,7.65741430468499,6.69503368125321,7.42272448418407,7.35105751113665,7.28743914896955,7.16489550175495,7.42257372521909,7.01313834620324,6.34793303958632,6.23267395655192,5.9212745011203,6.17894971414122,6.37252721942666,6.31735313748735,6.49392957011222,6.53597089799124
"ACADVL",8.63436754621696,8.75183863012805,8.80868934883849,8.55908474672882,8.53118531371173,8.65550523264102,8.56054372832712,7.97868775289274,8.87638919768169,8.30043822170995,7.78177864789313,8.27822410259711,7.84515623636356,9.10855107546866,9.11018481249253,8.89673151087175,9.45506940892116,10.1071702750361
"ACAP1",8.2398470708413,8.60825172329022,8.2446627491321,7.77595414270354,8.11777012914619,8.4305973841681,7.82497011521859,8.06505794975206,8.15900406859135,8.35680999523366,7.38051352066131,6.82536777900172,6.75508571791552,8.13304282401793,8.13429515923729,7.84911734584572,8.13498834572955,8.39400713992474
"ACAP2",6.60389109892422,6.50161391952289,6.83438491942819,7.25814163246646,6.66222482308729,6.94971558225134,6.77105748677344,5.77301452255726,6.08554625901567,6.28997107337471,5.17726670981053,5.21606524493523,4.82668787167542,5.31007561728967,5.46870425356417,5.2932879208589,5.65298919154034,5.40982946988402
"ACAP3",2.88741936482944,2.0580611347167,4.50429735348149,1.28979330808557,1.52049769643636,1.38234734204337,0.743728006329389,0,0,1.05487286634861,0,0,0,0,0,0,0,0
"ACAT1",9.73316979660614,9.84003053378055,9.17217689099756,9.7607725324102,9.3512779824511,9.61741904044629,9.53691904297708,8.91626960024831,9.09805042624644,9.15919855690929,8.32141013213619,8.63361946963202,8.33789114365667,9.00127686114792,9.02109315088279,9.00075944588729,9.30370505579073,9.3200052487208
"ACAT2",8.48444770257185,7.67708793313914,7.69171114510858,8.64990068843521,7.53040361530179,7.64870756500415,8.25093313835976,7.3490805834391,7.76374953226296,7.83054585427612,6.73399509804952,7.3300366148632,7.27294897225568,7.22240772702827,7.9024188287081,7.95466258930925,7.98298792197253,7.92821365394146
"ACBD3",5.50616738895606,5.17695359043269,5.58911574783521,5.96956135071837,5.47601643617045,5.18074640960019,6.15268859303144,4.84184442037552,5.01833784310649,4.93126156980396,5.04856424818162,5.01376836570241,4.71255821605811,4.90504597722383,5.21052183341792,4.88454351179557,5.00675707407881,4.84246363101136
"ACBD5",4.02847894341841,0,0,2.01864648073994,0,0,0,0,0,0,0,2.80704013366918,2.96500016124523,2.91505139009619,2.89997479285897,2.40764689830418,0,0
"ACBD6",1.92261605247321,2.41593470088321,2.88880194651611,2.76851341199605,1.9167446411599,1.10590402468092,2.04511643366413,3.15576156300472,2.50988959359047,2.11614007798321,3.01122768052585,2.29782335640313,2.09417432444878,0,0,0.873349150930146,1.71640721052888,1.61746221765475
"ACD",2.73938098101929,2.40196076208839,1.55390797796064,4.28138431109857,2.03842084414031,2.25399648278516,4.06294442237286,4.7472134435282,2.33779704065816,2.60459198710626,3.38094366393001,2.75496719036766,0,2.60031480563079,3.03522279418069,3.17938918727106,2.74062717583925,2.39432960285444
"ACE",0,0,0,0,0,0,0,2.01047443428274,2.28342753493633,2.0178760118872,1.91319513696899,0,0,0,0,0,0,0
"ACIN1",9.55385987695875,8.80844630459178,9.12145894512428,9.39428527269292,9.43347517436397,9.14496397866276,9.88127586893838,8.49356434625498,8.71779357509564,8.73270684353549,8.59966566210096,8.54117490880404,8.6362515860947,8.61727868515545,8.45349896233465,8.52197087139929,8.4265355179105,8.7201491380892
"ACKR2",0,0,0,0,0,0,0,1.76320731357574,1.41897812116213,1.40156424461057,1.71955545810042,2.67908424026834,2.02486345952685,1.62046319057831,1.18352563903988,1.6002920252907,1.76768436125979,1.65268055750805
"ACLY",7.87888018513331,7.85935075502309,8.24963559945325,7.77401478036062,8.40850259743857,8.48200543471892,7.84729279664726,8.94547036685716,8.47931158225159,8.88891227604794,9.49948796285631,9.77910410954571,9.81465128158331,9.79513464395711,10.1315880906899,9.94427346010737,9.82310164644274,9.86671515624017
"ACO1",6.39052369694618,6.85228206042946,6.26881025059301,6.44286717922646,6.01448002070405,6.38620768722649,6.55290238904185,6.28721574433852,6.05209768189353,6.63902202223326,5.45840235402825,5.4094828142745,5.40811816786256,6.24862005615628,6.17204910540235,6.22718389494082,6.27303845871754,6.76922263992057
